:START_ID,:END_ID,:TYPE
FAC_ZEKI,HZ_FLOOD,SUBJECT_TO
FAC_ZEKI,TC_INSPECTION_REGULAR,REQUIRES
FAC_ZEKI,SEC_IJIKANRI_KASEN_6_5,DESCRIBED_IN
FAC_ZEKI,CH_SEKKEI_6,DESCRIBED_IN
FAC_HIMON,HZ_FLOOD,SUBJECT_TO
FAC_HIMON,HZ_SHINSUI,SUBJECT_TO
FAC_HIMON,TC_INSPECTION_REGULAR,REQUIRES
FAC_HIMON,SEC_IJIKANRI_KASEN_6_5,DESCRIBED_IN
FAC_HIMON,CH_SEKKEI_7,DESCRIBED_IN
FAC_SUI_MON,HZ_FLOOD,SUBJECT_TO
FAC_SUI_MON,TC_INSPECTION_REGULAR,REQUIRES
FAC_SUI_MON,SEC_IJIKANRI_KASEN_6_5,DESCRIBED_IN
FAC_SUI_MON,CH_SEKKEI_7,DESCRIBED_IN
FAC_HAISUI_KIJO,HZ_SHINSUI,SUBJECT_TO
FAC_HAISUI_KIJO,TC_INSPECTION_REGULAR,REQUIRES
FAC_HAISUI_KIJO,SEC_IJIKANRI_KASEN_6_5,DESCRIBED_IN
FAC_HAISUI_KIJO,CH_SEKKEI_8,DESCRIBED_IN
FAC_DAM,HZ_FLOOD,SUBJECT_TO
FAC_DAM,TC_LONGEVITY,REQUIRES
FAC_DAM,TC_INSPECTION_REGULAR,REQUIRES
FAC_DAM,TC_INSPECTION_DETAIL,REQUIRES
FAC_DAM,TC_TAISA_TAISAKU,REQUIRES
FAC_DAM,TC_KEIRYU_FLOW_MAST,REQUIRES
FAC_DAM,TC_HEALTH_EVAL,REQUIRES
FAC_DAM,CH_SEKKEI_9,DESCRIBED_IN
FAC_DAM,CH_IJIKANRI_DAM_5,DESCRIBED_IN
FAC_CONCRETE_DAM,HZ_FLOOD,SUBJECT_TO
FAC_CONCRETE_DAM,TC_ANTEI_KEISAN,REQUIRES
FAC_FILL_DAM,HZ_FLOOD,SUBJECT_TO
FAC_FILL_DAM,TC_ANTEI_KEISAN,REQUIRES
FAC_SABO_DAM,HZ_DOSEKIRYU,SUBJECT_TO
FAC_SABO_DAM,TC_INSPECTION_REGULAR,REQUIRES
FAC_SABO_DAM,TC_INSPECTION_TEMP,REQUIRES
FAC_SABO_DAM,TC_INSPECTION_DETAIL,REQUIRES
FAC_SABO_DAM,TC_HEALTH_EVAL,REQUIRES
FAC_SABO_DAM,SEC_IJIKANRI_SABO_4_2,DESCRIBED_IN
FAC_SABO_DAM,SEC_IJIKANRI_SABO_5_2,DESCRIBED_IN
FAC_SABO_DAM,CH_SEKKEI_10,DESCRIBED_IN
FAC_YUKODOME_SABO,HZ_DOSEKIRYU,SUBJECT_TO
FAC_YUKODOME_SABO,SEC_IJIKANRI_SABO_4_3,DESCRIBED_IN
FAC_YUKODOME_SABO,SEC_IJIKANRI_SABO_5_3,DESCRIBED_IN
